timestamp,direction,entry,exit,sl,tp1,pnl,exit_reason,reason,capital_after
2025-01-13 21:45:00,short,94193.49,95102.85606,95102.85606,92374.75788,-1.0414325953620922,sl,Bearish OB + RSI 80.5,48.95856740463791
2025-01-16 03:45:00,long,99478.03,98404.8459,98404.8459,101624.39819999998,-1.015476782264104,sl,Bullish OB + RSI 23.6,47.94309062237381
2025-01-18 03:45:00,long,103559.82,103188.67906,103188.67906,104302.10188000003,-1.0658826727189743,sl,Bullish FVG + RSI 38.1,46.87720794965483
2025-01-20 12:45:00,long,106917.59,102620.07854,102620.07854,115512.61291999999,-0.9468742062012191,sl,Bullish FVG + RSI 35.2,45.93033374345361
2025-02-11 09:45:00,long,97999.99,97571.34624,97571.34624,98857.27752000002,-1.002614378563255,sl,Bullish FVG + RSI 36.3,44.92771936489035
2025-02-17 20:45:00,short,95971.36,96592.8,96592.8,94728.48,-0.9540612658913555,sl,Bearish FVG + RSI 69.9,43.973658098998996
2025-02-18 21:15:00,short,95159.1,95390.4,95390.4,94696.50000000003,-1.0242027332176338,sl,Bearish FVG + RSI 63.9,42.94945536578136
2025-02-18 21:30:00,short,94908.4,95390.4,95390.4,93944.4,-0.9266449428282866,sl,Bearish FVG + RSI 60.7,42.02281042295307
2025-02-28 15:30:00,short,83744.0,84382.85886,84382.85886,82466.28228000001,-0.884524261124839,sl,Bearish FVG + RSI 78.6,41.13828616182823
2025-03-01 16:30:00,short,85000.43,85288.26606,85288.26606,84424.75787999999,-0.9199536020094587,sl,Bearish FVG + RSI 65.6,40.218332559818776
2025-03-06 09:30:00,long,90904.31,89806.75654,89806.75654,93099.41691999999,-0.8310151555577093,sl,Bullish OB + RSI 17.7,39.38731740426107
2025-03-10 02:45:00,short,82198.12,82780.61076000001,82780.61076000001,81033.13847999997,-0.8322114440462074,sl,Bearish FVG + RSI 78.6,38.55510596021486
2025-03-12 08:45:00,short,82689.67,83950.82651999999,83950.82651999999,80167.35696000002,-0.7913255185245669,sl,Bearish OB + RSI 67.1,37.763780441690294
2025-03-14 00:45:00,short,81503.31,82689.50892000001,82689.50892000001,79130.91215999998,-0.7760334972602158,sl,Bearish OB + RSI 74.2,36.98774694443008
2025-03-25 03:45:00,long,86520.88,88006.43999999999,85778.1,88006.43999999999,1.019892389914401,tp,Bullish FVG + RSI 20.2,38.00763933434448
2025-03-25 22:30:00,long,87573.18,86755.60108000001,86755.60108000001,89208.33783999996,-0.7927216287583236,sl,Bullish OB + RSI 40.0,37.21491770558616
2025-04-04 00:30:00,short,83313.05,83955.80645999999,83955.80645999999,82027.53708000002,-0.782888252370251,sl,Bearish OB + RSI 75.1,36.43202945321591
2025-04-11 22:45:00,long,83415.34,82856.93404,82856.93404,84532.15192,-0.7721786648216759,sl,Bullish FVG + RSI 35.5,35.65985078839424
2025-04-28 15:45:00,long,93833.51,93450.225,93450.225,94600.07999999999,-0.7830372435994231,sl,Bullish FVG + RSI 28.5,34.876813544794814
2025-04-29 22:45:00,long,94163.67,93257.112,93257.112,95976.786,-0.726517351080803,sl,Bullish OB + RSI 16.4,34.15029619371401
2025-05-16 08:30:00,long,103318.26,103474.92,102503.04308,104948.69383999998,-0.034624886649498796,timeout,Bullish OB + RSI 22.9,34.11567130706452
2025-05-16 08:45:00,long,103388.6,103426.06,102503.04308,105159.71384000001,-0.03186398448106586,timeout,Bullish OB + RSI 25.1,34.08380732258345
2025-05-20 13:45:00,long,104448.04,105023.59599999999,104160.262,105023.59599999999,1.9452456184224272,tp,Bullish FVG + RSI 29.5,36.02905294100588
2025-05-27 01:30:00,long,108363.5,109693.27776,107698.61112,109693.27776,0.9247030372251259,tp,Bullish FVG + RSI 19.3,36.95375597823101
2025-05-27 01:45:00,long,108385.31,109758.70775999999,107698.61112,109758.70775999999,0.8441781449935406,tp,Bullish FVG + RSI 22.1,37.79793412322455
2025-06-02 07:15:00,short,105273.18,103662.25235999998,106078.64382,103662.25235999998,1.093963281936712,tp,Bearish OB + RSI 67.8,38.89189740516126
2025-06-02 07:45:00,short,105387.67,104005.72236,106078.64382,104005.72236,1.1188357274122103,tp,Bearish OB + RSI 67.2,40.01073313257347
2025-06-02 08:30:00,short,105488.21,104307.34236000002,106078.64382,104307.34236000002,1.1426546177561112,tp,Bearish OB + RSI 65.8,41.15338775032958
2025-06-02 08:45:00,short,105328.43,103828.00235999998,106078.64382,103828.00235999998,1.1878850046421834,tp,Bearish OB + RSI 64.2,42.34127275497176
2025-06-06 10:15:00,short,103713.29,105137.64558,105137.64558,100864.57883999999,-0.8714898170712148,sl,Bearish OB + RSI 71.7,41.46978293790055
2025-06-08 10:15:00,long,105084.1,106291.43924000004,104480.43037999999,106291.43924000004,2.1476598326556386,tp,Bullish OB + RSI 25.0,43.61744277055619
2025-06-09 03:15:00,long,105473.92,106691.04204000001,104865.35897999999,106691.04204000001,2.5555226218207254,tp,Bullish OB + RSI 36.6,46.172965392376916
2025-06-11 11:45:00,long,109252.09,108399.44664,108399.44664,110957.37672,-0.97078969902647,sl,Bullish OB + RSI 27.6,45.20217569335045
2025-06-15 01:00:00,short,105574.01,105140.0,106391.88906,103938.25187999998,-0.04667853898762488,timeout,Bearish OB + RSI 68.6,45.15549715436282
2025-06-21 09:00:00,short,103711.99,101470.79664000003,104832.58668,101470.79664000003,1.3185199261073255,tp,Bearish OB + RSI 65.7,46.47401708047015
2025-06-29 16:45:00,long,107552.03,108281.33872,107187.37564,108281.33872,1.2840055612764432,tp,Bullish FVG + RSI 29.4,47.75802264174659
2025-07-25 10:45:00,short,116308.48,116586.36732,116586.36732,115752.70535999998,-1.115071686532589,sl,Bearish FVG + RSI 60.4,46.642950955214005
2025-08-05 20:30:00,short,113658.77,114802.31634,114802.31634,111371.67732,-0.9699463167453356,sl,Bearish OB + RSI 61.8,45.67300463846867
2025-08-09 14:00:00,long,116971.05,118313.74107999999,116299.70446000001,118313.74107999999,1.954096042389856,tp,Bullish OB + RSI 27.4,47.627100680858526
2025-08-09 14:45:00,long,116972.87,118319.20107999997,116299.70446000001,118319.20107999997,2.1632964351088844,tp,Bullish OB + RSI 37.2,49.79039711596741
